id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20497895,Spacious basement-level apt near Wrigley Field/CTA,146333051,Lloyd,,Lake View,41.95227,-87.66934,Private room,65,2,383,14-06-2025,4.04,1,158,38,R17000019251
20498813,Andersonville Cozy 1 bedroom basement suite,146342995,Sue,,Edgewater,41.98025,-87.67236,Entire home/apt,109,2,298,12-06-2025,3.24,1,199,46,R22000077843
20524028,2 Bedroom Apartment by O'Hare/CTA/I90 Free Parking,64513360,Paul,,Norwood Park,41.97479,-87.79015,Entire home/apt,107,1,383,09-06-2025,4.81,1,230,52,R22000093652
20539979,Hidden Gem in South Loop,146661355,John,,Near South Side,41.86373,-87.62595,Entire home/apt,163,2,8,01-06-2025,0.95,1,93,8,R24000121060
20543019,Explore Hip Logan Square from a Modern Apartment,2069798,Afsha,,Logan Square,41.915187,-87.711741,Entire home/apt,191,2,267,08-06-2025,2.81,6,44,25,R20000054738
20586078,Sunny Logan Square Artists' home,15856079,Kyle,,Logan Square,41.92169,-87.72111,Entire home/apt,100,1,405,02-06-2025,4.27,1,236,52,R24000117459
20601137,Historic Coach House Cottage,147218562,Rosemary,,Grand Boulevard,41.8126,-87.61295,Entire home/apt,135,2,250,31-05-2025,2.64,2,330,21,R23000098430
20641086,Entire Home (Pilsen),26928601,Idaima,,Lower West Side,41.85874,-87.66146,Entire home/apt,171,2,31,26-05-2025,0.33,1,5,2,R17000017655
20647880,Inviting 2 Bedroom Apartment in Roscoe Village,147654278,Lara,,North Center,41.94552,-87.68531,Entire home/apt,140,3,151,08-06-2025,1.72,1,83,21,R17000019219
20649033,Private Lincoln Square one bed+bath studio apt.,7420910,Janet,,Lincoln Square,41.96998,-87.6818,Entire home/apt,126,2,364,15-06-2025,3.97,1,91,60,R24000122972
20650575,2 Floor - 4 BR- 4Baths Condo Near downtown Chicago,76133827,Anny,,West Town,41.89752,-87.66363,Entire home/apt,623,1,61,02-06-2024,0.71,7,309,0,R24000121532
20679988,Amadeus Stay - Hip Central 3bdrm Apt +Free Parking,11742953,Michelle,,North Center,41.95371,-87.67784,Entire home/apt,276,2,190,09-06-2025,2.11,1,58,23,R23000096533
20689785,"Historic campus U of C Prof. mansion, top location",143937691,Caryl,,Hyde Park,41.79327,-87.59678,Private room,189,2,87,31-05-2025,0.94,6,280,22,R24000114043
20712959,Family Friendly 3BR Duplex in Roscoe Village,72758399,John,,North Center,41.93533,-87.67542,Entire home/apt,210,3,276,01-06-2025,2.92,1,257,39,R17000020051
20756430,"Pet-friendly, entire 3 BR in Hot Logan Square!",45239294,Cherie,,West Town,41.91237,-87.69812,Entire home/apt,99,32,34,21-04-2022,0.36,3,140,0,
20757313,WrigleyVilla - 1/2 Block From Wrigley Field!,127574066,Christine,,Lake View,41.94912,-87.65688,Entire home/apt,662,2,95,15-06-2025,1.01,1,158,15,R22000090297
20759671,Designer Smart Wicker Park Home,148697512,C,,West Town,41.90551,-87.68164,Entire home/apt,1004,1,70,24-03-2025,0.74,1,100,15,R24000119259
20796999,"Lovely, bright, 3-bedroom Avondale flat. Private.",149092372,Abel,,Avondale,41.93812,-87.72454,Entire home/apt,,32,377,09-10-2024,3.98,1,0,23,R17000020034
20818822,4BDRM Gorgeous Apt Pilsen Private Prking Available,149317569,Tony,,Lower West Side,41.853252,-87.682693,Entire home/apt,152,1,283,01-06-2025,3.25,2,307,25,R19000042370
20834078,Milagro2720 (2F),36128270,Juanita,,North Lawndale,41.85704,-87.69476,Private room,,2,152,27-04-2025,1.61,4,352,2,R24000115793
20834660,Bright & Spacious Noble Square Loft,113562870,Amy,,West Town,41.89589,-87.66303,Entire home/apt,172,2,290,16-06-2025,3.07,1,99,30,R19000050528
20897535,Chic Uptown-Ravenswood 2bed,4122146,Emily,,Uptown,41.967563,-87.6654276,Entire home/apt,,32,0,,,1,0,0,
20901369,Garden Apartment in captivating Hyde Park,1517871,Jon,,Hyde Park,41.8004,-87.58904,Entire home/apt,75,2,129,05-06-2025,1.58,1,95,38,R22000084238
20933786,South Loop Luxury Lofts,139765116,Jose,,Bridgeport,41.84093,-87.66093,Private room,45,32,11,15-12-2024,0.12,7,308,2,
20947233,"Luxe, Private Suite w/Own Entrance-2023 Renovated",150629165,Kimberly,,Logan Square,41.920656,-87.681332,Entire home/apt,166,2,377,14-06-2025,4.03,1,154,53,R17000020066
20985600,Re-energize in Private Room in new Logan Square Townhouse,1257936,Paul,,Logan Square,41.91393,-87.71776,Private room,99,2,141,21-07-2024,1.5,1,101,1,R22000082353
21013562,Historic Old Town Flat - Minutes from Downtown!,151312537,Sara,,Lincoln Park,41.912643,-87.635681,Entire home/apt,207,2,304,01-06-2025,3.25,1,180,26,R21000072680
21028123,LAKEVIEW Large Vintage Apartment BEST LOCATION,48329606,Christine,,Lake View,41.9373,-87.65194,Entire home/apt,497,32,3,27-03-2022,0.04,1,90,0,
21028700,Great Place to Stay in Logan Square by 606 Trail!,77530633,Raymond,,Logan Square,41.91489,-87.69734,Entire home/apt,106,1,115,19-05-2025,1.28,1,83,13,R23000099919
21110208,Luxury Wicker Park Penthouse w/ Private Rooftop,6162,Jaqueline,,West Town,41.90914,-87.68252,Entire home/apt,,12,128,02-09-2024,1.37,1,1,1,R25000128932
21149807,#1 Historic Chicago Home - Private Queen Bedroom,5468317,Brian,,Rogers Park,42.0114,-87.66417,Private room,79,2,147,27-05-2025,1.57,7,4,11,R22000094767
21157736,Location! Close to Fulton Mkt & Downtown 2 bedroom,2630113,Nikkole,,West Town,41.8936,-87.66118,Entire home/apt,303,2,227,01-06-2025,2.43,7,82,27,R19000050520
21161463,Historic Chicago Home in the Heart of Rogers Park,5468317,Brian,,Rogers Park,42.01042,-87.66443,Entire home/apt,644,2,77,01-06-2025,0.84,7,292,9,R22000094767
21169118,Top Floor Escape | Modern Amenities | Lush Garden,16027807,Miriam,,Logan Square,41.92207685,-87.71408056,Entire home/apt,181,2,426,13-06-2025,4.71,3,51,60,R21000075738
21175666,"HydePark001, UC, Chinatown,NavyPier, freeparking",140160049,Zen Chicago,,Kenwood,41.80398,-87.60258,Private room,99,1,190,11-06-2025,2.08,4,210,9,R25000127936
21177789,"HydePark002, UC, NavyPier, Chinatown, freeparking",140160049,Zen Chicago,,Kenwood,41.80384,-87.60391,Private room,76,1,273,15-06-2025,2.91,4,345,30,R25000127936
21178038,"HydePark003, UC, NavyPier, Chinatown, freeparking",140160049,Zen Chicago,,Kenwood,41.80238,-87.60217,Private room,102,1,207,09-06-2025,2.24,4,346,28,R25000127936
21250973,#4 Historic Chicago Home - Private Single Bedroom,5468317,Brian,,Rogers Park,42.00976,-87.66234,Private room,65,2,168,09-04-2025,1.79,7,6,4,R22000094767
21252535,#5 Historic Chicago Home - Private Queen Bedroom,5468317,Brian,,Rogers Park,42.01142,-87.66278,Private room,86,2,167,27-10-2024,1.78,7,6,3,R22000094767
21254658,#2 Historic Chicago Home - Private King Bedroom,5468317,Brian,,Rogers Park,42.01034,-87.66452,Private room,93,2,74,06-12-2024,0.82,7,2,6,R22000094767
21263727,#6 Historic Chicago Home - Double Twins,5468317,Brian,,Rogers Park,42.01007,-87.66417,Private room,86,2,123,19-03-2025,1.32,7,6,2,R22000094767
21263821,#7 Historic Chicago Home - Bunk Bedroom(Twin&Full),5468317,Brian,,Rogers Park,42.01036,-87.66248,Private room,,2,173,27-05-2025,1.85,7,4,4,R22000094767
21272387,Stylish Studio in Historic Logan Square,66619585,Elizabeth Renee,,Logan Square,41.92994,-87.70468,Entire home/apt,133,2,294,16-06-2025,3.85,2,198,50,R21000075228
21282070,Cozy and Stylish Studio in Irving Park,117498144,Orel,,Irving Park,41.94196,-87.7307,Entire home/apt,90,32,516,22-12-2024,5.52,5,186,2,
21289942,Pilsen Garden 2 bedroom Suite Monthly Rental,47035703,Edwin,,Lower West Side,41.85591,-87.67467,Entire home/apt,75,32,15,31-10-2024,0.18,3,209,1,
21321497,El Motel Southwestern Estate with Backyard & Grill,4069585,Liz,,Logan Square,41.92643,-87.69965,Entire home/apt,967,2,25,10-02-2025,0.27,6,331,6,2469910
21356462,Wrigleyville Southport Studio,32352014,Arlene,,Lake View,41.94015,-87.65986,Entire home/apt,149,2,258,15-06-2025,2.76,1,240,44,R22000079596
21368570,SPACIOUS PRIVATE ROOM-WRIGLEY FIELD GREAT LOCATION,4466617,Mary,,Lake View,41.94798,-87.66147,Private room,125,1,175,01-06-2025,1.87,1,304,34,R18000031623
21413004,Urban Glamour in West Town,11425730,Brian,,West Town,41.8961,-87.67091,Entire home/apt,138,2,108,01-06-2025,1.18,1,71,17,R24000114428
21422893,Bold Ukrainian Village 2 Bedroom w/Garage Parking,106090301,Valori,,West Town,41.89378,-87.6734,Entire home/apt,165,2,257,05-06-2025,2.77,1,214,58,R21000074001
21472684,"Lake Home-3 blocks to beach/harbor
10 min 2 Loop!",155934833,Jenell S,,Oakland,41.82676,-87.60749,Entire home/apt,229,3,79,09-06-2025,0.87,1,292,15,R22000088477
21486813,Relax & Walk to Wrigley Field from this Comfy Home,127772312,Susan,,North Center,41.95023,-87.68203,Entire home/apt,144,2,268,01-06-2025,2.89,1,98,45,R24000121558
21488226,Spacious 6BR in Logan Square + Garage! Sleeps 16,156059677,Amit,,Avondale,41.93405,-87.70322,Entire home/apt,692,3,245,02-06-2025,2.65,1,170,30,R18000033614
21489885,"South Shore Large 3br,",92223997,David,,South Shore,41.7715371,-87.5719908,Entire home/apt,639,20,0,,,1,88,0,R24000116804
21539533,"HydePark007, Chinatown,  UC, Shared kitchen",140160049,Zen Chicago,,Kenwood,41.8037,-87.60199,Private room,80,1,297,15-06-2025,3.2,4,347,31,R25000127936
21547974,Old town vintage 2 bedroom,22169733,Karen,,Lincoln Park,41.91386,-87.63828,Entire home/apt,100,180,0,,,1,168,0,
21551769,Modern Comfort 2 Bd Condo In Iconic Lincoln Square,61661450,Joe,,Lincoln Square,41.97661,-87.69131,Entire home/apt,77,2,45,10-06-2025,2,1,321,26,R24000120765
21563403,"Chicago Gem,  Art Gallery w/ Parking",47720848,Donald,,Lower West Side,41.85862,-87.66659,Private room,69,1,129,16-06-2025,1.39,2,199,3,R23000103544
21603579,Entire lofted space in West Town,95057016,John,,West Town,41.8914,-87.65715,Entire home/apt,228,3,41,15-06-2025,0.47,1,35,2,R25000129212
21636681,201 Studio Free fast wifi  Private Bathroom,127235673,Alex,,Edgewater,41.98532,-87.67212,Private room,71,32,109,13-08-2024,1.18,5,260,1,
21665919,High rise living downtown Chicago with lake view.,24188877,Jacqueline,,Loop,41.88402,-87.61612,Entire home/apt,150,33,1,01-10-2018,0.01,2,365,0,
21681234,Renovated Designer Flat in Heart of Lincoln Square,157821307,Amy,,Lincoln Square,41.96611,-87.68712,Entire home/apt,110,3,363,08-06-2025,3.93,2,249,36,R23000103756
