id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6.65059E+17,1 bed with queen bed full kitchen very quiet area,467969372,Nathaniel,,Hollygrove,29.96498381,-90.12918156,Entire home/apt,71,30,0,,,2,364,0,"22-CSTR-97540, 22-OSTR-89543"
6.65218E+17,Luxury Villa w Rooftop,133747621,Spencer,,Central City,29.9380696,-90.0818637,Entire home/apt,456,2,36,09-06-2025,1.33,6,335,18,"22-CSTR-05247, 22-OSTR-05446"
6.65912E+17,~ 6 Mi to Uptown: Adorable New Orleans Home!,121682456,Evolve,,Lakeview,30.01671,-90.1103,Entire home/apt,127,30,46,02-01-2025,1.35,7,348,5,"22-RSTR-11211, 22-OSTR-08486"
6.66075E+17,Designer renovated Uptown home close to everything,468243018,Benjamin,,East Riverside,29.91882,-90.09334,Entire home/apt,237,2,59,19-05-2025,1.69,1,343,18,"22-CSTR-13443, 22OSTR-08855"
6.66607E+17,Harrison Haus 3 bedroom,17309182,Spencer,,Lakeview,30.0045592,-90.1099358,Entire home/apt,130,30,5,22-05-2025,0.19,1,334,2,
6.67162E+17,"3B,3B Frenchmen St. Townhome",260074787,Terrence,,Seventh Ward,29.97534,-90.05861,Entire home/apt,312,2,74,25-05-2025,2.14,1,264,5,"24-NSTR-23134, 23-OSTR-23134"
6.67265E+17,Designer's Dream! 3 bed/2.5 bath,15787679,Marinda,,Milan,29.93983,-90.09847,Entire home/apt,85,2,95,04-06-2025,2.74,1,304,25,"23-NSTR-14350, 23-OSTR-17326"
6.68107E+17,"Renovated Gem in Mid-City,  Minutes to Bourbon St!",56391546,Ryan,,Mid-City,29.96546,-90.09304,Entire home/apt,143,1,133,15-06-2025,3.94,1,256,50,"23-NSTR-13722, 23-OSTR-13720"
6.68748E+17,Uptown Apartment 1 block from Magazine St,38714568,Casey,,West Riverside,29.91962,-90.10767,Entire home/apt,79,30,178,08-06-2025,5.07,2,76,46,"23-NSTR-14165, 22-OSTR-12596"
6.6895E+17,Spacious 3BR 2 min from the French Quarter Bourbon,441738451,Sean,,Central Business District,29.95198,-90.07152,Entire home/apt,171,30,65,10-05-2025,3.12,1,356,36,"23NSTR-88119, 20-OSTR-00459"
6.69399E+17,Beautiful luxury 2 BR w/fireplace and bonus room,180977375,Alana,,Dillard,29.99128704,-90.06799072,Private room,350,2,6,01-12-2024,0.17,1,87,4,"24-NSTR-11023, 24-OSTR-03581"
6.70851E+17,"Okra Inn Carrollton: 2 Bedroom Suite, Private Bath",2707644,Lindsay,,Mid-City,29.9706926,-90.1041608,Private room,83,1,23,10-06-2025,0.65,12,37,13,24-XSTR-08383
6.70983E+17,"Only If you like Pirates, Vampires, and Voodoo",334130514,Tyler,,Seventh Ward,29.97422,-90.06149,Private room,64,30,7,04-03-2025,0.4,1,365,4,
6.71147E+17,Cozy 1 bedroom kitchen full bath with washer/dryer,467969372,Nathaniel,,Hollygrove,29.96522,-90.12825,Entire home/apt,67,30,4,11-09-2022,0.11,2,89,0,"22-CSTR-98643, 22-OSTR-89346"
6.71574E+17,"Large , clean, comfy guest bedroom w/ private bath",52658033,Mari,,Milneburg,30.02378,-90.06065,Private room,52,30,4,20-12-2024,0.14,1,81,2,
6.7203E+17,Beautiful and spacious 4 Bedroom home Available,143377656,Barry,,Tall Timbers - Brechtel,29.92503,-90.03007,Entire home/apt,209,3,11,04-09-2023,0.33,1,120,0,"24-NSTR-10067, 22-OSTR-11308"
6.72696E+17,"Brand New Home, 5 blocks to the French Quarter!",456048604,Adrian,,Tulane - Gravier,29.96387,-90.07784,Entire home/apt,,45,85,18-05-2025,2.42,3,20,22,"23-NSTR-09643, 23-OSTR-10427"
6.73216E+17,La Casita,283720909,Thais,,Marlyville - Fontainbleau,29.95447,-90.11329,Entire home/apt,,30,46,15-07-2024,1.36,1,0,2,"22-RSTR-14127, 22-OSTR-14217"
6.73384E+17,Family friendly 3-bedroom home with patio,13920147,Elizabeth,,Central City,29.93416,-90.09179,Entire home/apt,,30,24,08-05-2023,0.72,1,0,0,"22-RSTR-14129, 22-OSTR-14332"
6.7387E+17,Classy Upscale Home | Perfect Uptown Location,39077661,Roane,,Uptown,29.92168,-90.10294,Entire home/apt,280,3,100,31-05-2025,2.82,1,323,46,"23-NSTR-16739, 23-OSTR-14371"
6.73895E+17,Charming Home in Uptown New Orleans,65981794,Emily,,Uptown,29.92983667,-90.10972614,Entire home/apt,112,2,48,25-05-2025,1.7,1,147,21,"23-NSTR-17685, 23-OSTR-17791"
6.74039E+17,Condominium on St. Charles Avenue,49580714,Beryl Katz,,Milan,29.9276253,-90.0947197,Entire home/apt,85,30,5,01-05-2025,0.16,1,274,3,
6.74443E+17,Lovely one bedroom condo with patio,115932172,Alan,,French Quarter,29.9646151,-90.0645662,Entire home/apt,,30,2,05-04-2023,0.07,1,0,0,
6.74473E+17,Luxury Home in Hip Historic Bywater-30 day Rental,10043072,Dana,,St. Claude,29.96408,-90.03837,Entire home/apt,301,30,0,,,1,116,0,
6.75336E+17,Marigny Executive Suite,51607695,Craig,,Marigny,29.96663,-90.05373,Entire home/apt,124,3,74,08-06-2025,2.18,2,196,25,"24-NSTR-13875, 24-OSTR-14136"
6.75423E+17,Marigny Premier 2 bed,25860930,Jesse,,Marigny,29.96506,-90.06212,Entire home/apt,100,3,73,06-05-2024,2.07,1,89,0,"24-NSTR-18683, 24-OSTR-18682"
